Name,Gender,Language,Categories,Personalities,Speech Sample
Adri,Female,Afrikaans,General,"Friendly, Positive",mp3/Afrikaans/af-ZA-AdriNeural.mp3
Willem,Male,Afrikaans,General,"Friendly, Positive",mp3/Afrikaans/af-ZA-WillemNeural.mp3
Anila,Female,Albanian,General,"Friendly, Positive",mp3/Albanian/sq-AL-AnilaNeural.mp3
Ilir,Male,Albanian,General,"Friendly, Positive",mp3/Albanian/sq-AL-IlirNeural.mp3
Ameha,Male,Amharic,General,"Friendly, Positive",mp3/Amharic/am-ET-AmehaNeural.mp3
Mekdes,Female,Amharic,General,"Friendly, Positive",mp3/Amharic/am-ET-MekdesNeural.mp3
Amina,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-DZ-AminaNeural.mp3
Ismael,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-DZ-IsmaelNeural.mp3
Ali,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-BH-AliNeural.mp3
Laila,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-BH-LailaNeural.mp3
Salma,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-EG-SalmaNeural.mp3
Shakir,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-EG-ShakirNeural.mp3
Bassel,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-IQ-BasselNeural.mp3
Rana,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-IQ-RanaNeural.mp3
Sana,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-JO-SanaNeural.mp3
Taim,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-JO-TaimNeural.mp3
Fahed,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-KW-FahedNeural.mp3
Noura,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-KW-NouraNeural.mp3
Layla,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-LB-LaylaNeural.mp3
Rami,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-LB-RamiNeural.mp3
Iman,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-LY-ImanNeural.mp3
Omar,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-LY-OmarNeural.mp3
Jamal,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-MA-JamalNeural.mp3
Mouna,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-MA-MounaNeural.mp3
Abdullah,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-OM-AbdullahNeural.mp3
Aysha,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-OM-AyshaNeural.mp3
Amal,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-QA-AmalNeural.mp3
Moaz,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-QA-MoazNeural.mp3
Hamed,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-SA-HamedNeural.mp3
Zariyah,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-SA-ZariyahNeural.mp3
Amany,Female,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-SY-AmanyNeural.mp3
Laith,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-SY-LaithNeural.mp3
Hedi,Male,Arabic,General,"Friendly, Positive",mp3/Arabic/ar-TN-HediNeural.mp3
